IssueID,Repo,Number(sequence No. in the current repo),TDType,QA
334419637,owncloud/core,31854,Test TD,Maintainability
243664240,owncloud/core,28428,Architectural TD,Performance efficiency
181117734,owncloud/core,26280,Test TD,Maintainability
132158986,owncloud/core,22209,Architectural TD,Portability
54758274,owncloud/core,13459,Test TD,Maintainability
52139543,owncloud/core,12885,Test TD,Maintainability
50968076,owncloud/core,12615,Design TD,Maintainability
50802613,owncloud/core,12566,Build TD,Maintainability
49676000,owncloud/core,12346,Design TD,Maintainability
47576943,owncloud/core,11915,Architectural TD,Security
47214886,owncloud/core,11857,Architectural TD,Security
554900361,overload-development-community/otl-bot,161,Design TD,Maintainability 
23574016,ouroboros-project/ouroboros,17,Code TD,Reliability
277639607,osmlab/to-fix-backend,250,Documentation TD,Maintainability
374368107,oscoin/oscoin,304,Design TD,Maintainability
736023220,orange-cloudfoundry/paas-templates,997,Test TD,Maintainability
506506782,orange-cloudfoundry/cf-ops-automation-broker,203,Design TD,Maintainability 
306828590,orange-cloudfoundry/cf-ops-automation,111,Architectural TD,Functional suitability
454402845,orange-buffalo/simple-accounting,96,Design TD,Usability
733606767,orange-buffalo/simple-accounting,264,Design TD,Maintainability
493678839,orange-buffalo/simple-accounting,112,Design TD,Performance efficiency
447444111,openzipkin/zipkin,2610,Design TD,Maintainability
303469166,OpenUnirest/unirest-java,9,Test TD,Maintainability
185705832,opentrials/opentrials,530,Design TD,Reliability
497301059,opensocsysarch/CoreGenPortal,75,Design TD,Maintainability
298046130,openshift/ansible-service-broker,771,Design TD,Performance efficiency
475261498,openmobilityfoundation/mds-core,89,Architectural TD,Security
496045123,OpenLiberty/open-liberty,9058,Test TD,Maintainability
158507522,openhealthcare/opal,651,Versioning TD,Maintainability
753971103,opengovsg/GoGovSG,988,Design TD,Functional suitability
132865777,openfoodfoundation/openfoodnetwork,823,Code TD,Reliability
777136665,openfoodfoundation/openfoodnetwork,6586,Build TD,Maintainability
701967805,openfoodfoundation/openfoodnetwork,6030,Defect TD,Functional suitability
646695286,openfoodfoundation/openfoodnetwork,5691,Design TD,Maintainability
569329643,openfoodfoundation/openfoodnetwork,4826,Architectural TD,Maintainability 
524953000,openfoodfoundation/openfoodnetwork,4474,Design TD,Maintainability
438077128,openfoodfoundation/openfoodnetwork,3759,Defect TD,Reliability
404545881,openfoodfoundation/openfoodnetwork,3405,Design TD,Maintainability
382556670,openfoodfoundation/openfoodnetwork,3084,Architectural TD,Maintainability
381525524,openfoodfoundation/openfoodnetwork,3059,Defect TD,Reliability
365924931,openfoodfoundation/openfoodnetwork,2807,Design TD,Maintainability
681122644,opencollective/opencollective,3413,Code TD,Maintainability
579163985,opencollective/opencollective,2976,Architechtral TD,Maintainability
545439775,opencollective/opencollective,2772,Test TD,Maintainability
459149546,opencollective/opencollective,2146,Architectural TD,Portability
459140656,opencollective/opencollective,2145,Architectural TD,Maintainability
444784652,opencollective/opencollective,2036,Architectural TD,Maintainability
722175335,openactive/openactive-test-suite,247,Design TD,Maintainability
742971201,omegaml/omegaml,128,Defect TD,Reliability
394613588,NZFurs/Login,19,Design TD,Maintainability
388517404,NYU-Wishlists/wishlists,114,Build TD,Maintainability
366518895,NYUDevOps-Fall18-Shopcarts/shopcarts,12,Test TD,Functional suitability
383357097,NYUDevOps-Fall18-Recommendations/recommendations,75,Architectural TD,Functional suitability
577123257,nyu-devops-wishlists/wishlists,27,Infrastructure TD,Maintainability
736544790,nyu-devops-team/customers,68,Test TD,Maintainability
572317270,nyu-devops-shopcarts/shopcarts,9,Design TD,Maintainability
599606069,nyu-devops-shopcarts/shopcarts,84,Test TD,Maintainability
593522987,nyu-devops-shopcarts/shopcarts,61,Design TD,Reliability
275748229,nyu-devops-payments-2017/payments,48,Architectural TD,Maintainability
503041703,nyu-devops-fall19-suppliers/suppliers,39,Architectural TD,Portability
516273593,NYU-DevOps-Fall19-Payments-Team/payments,85,Test TD,Maintainability
366472581,nyu-devops-fall18/products,3,Infrastructure TD,Maintainability
514944177,nyu-devops-fa19/customers,61,Test TD,Maintainability
278812682,nyu-devops-echo/shopcarts,96,Documentation TD,Usability
262822981,nyu-devops-echo/shopcarts,16,Architectural TD,Maintainability
222974829,NYU-DevOps-Charlie-CSCI-GA-3033-013/products,53,Test TD,Reliability
758701514,NYU-Devops-2020-Orders-Team/orders,131,Requirements TD,Usability
2154749,nragaz/check_out,1,Test TD,Maintainability 
608440792,NodeBB/NodeBB,8277,Code TD,Reliability
693997463,Nitrate/Nitrate,771,Design TD,Maintainability
261293852,nilenso/time-tracker-web-nxt,25,Build TD,Compatibility
541779075,ni/niveristand-routing-and-faulting-custom-device,174,Design TD,Maintainability
244998580,nextcloud/server,5849,Design TD,Maintainability
399260766,nextcloud/server,13601,Defect TD,Reliability
376920124,nextcloud/server,12224,Architectural TD,Maintainability
174949642,nextcloud/gallery,144,Architectural TD,Maintainability
462809302,neontribe/www,194,Design TD,Maintainability
67201529,neelbhat88/imuadev,821,Design TD,Functional suitability
